UserId,Qtag,AnsweredDate,Top_user,QId
4,gallery|samsung-galaxy-s,2010-09-13 19:56:39.013,4,76
45,radio-firmware,2010-09-13 19:56:48.717,45,70
45,keyboard,2010-09-13 19:58:31.573,119,53
89,customization|settings,2010-09-13 19:59:17.240,45,82
10,authorization|lost-phone|security,2010-09-13 20:01:21.003,10,112
88,radio-firmware,2010-09-13 20:02:37.473,45,70
10,clock-speed,2010-09-13 20:03:50.060,10,118
86,sms,2010-09-13 20:04:29.743,86,104
91,camera|settings,2010-09-13 20:04:34.650,10,89
75,att|email|gmail|home-screen|samsung-galaxy-s,2010-09-13 20:09:26.450,75,31
4,launcher,2010-09-13 20:11:08.360,4,130
10,launcher,2010-09-13 20:11:27.093,4,130
22,alarm,2010-09-13 20:16:15.240,65,136
65,alarm,2010-09-13 20:17:28.313,65,136
100,alarm,2010-09-13 20:17:55.973,65,136
100,htc-hero|rooting,2010-09-13 20:21:14.587,96,456
75,applications|google-play-store|paid-apps,2010-09-13 20:22:35.160,75,83
56,battery|motorola-milestone,2010-09-13 20:31:37.810,9,150
21,battery|motorola-milestone,2010-09-13 20:34:20.697,9,150
3,hardware|mp3|pmp,2010-09-13 20:35:12.380,119,152
100,hardware|mp3|pmp,2010-09-13 20:36:59.320,119,152
21,rooting,2010-09-13 20:58:21.927,21,164
10,rooting,2010-09-13 21:01:08.277,21,164
9,hardware|mp3|pmp,2010-09-13 21:07:52.837,119,152
9,battery|motorola-milestone,2010-09-13 21:15:16.870,9,150
109,alarm,2010-09-13 21:27:59.637,65,136
49,notifications|sms,2010-09-13 21:45:35.187,49,175
31,samsung-galaxy-s|samsung-kies|updates,2010-09-13 21:59:13.743,304,181
121,alarm|google-voice-actions|htc-desire,2010-09-13 22:26:04.640,2230,171
116,battery,2010-09-13 22:31:11.770,116,177
63,battery|charging|htc-droid-incredible,2010-09-13 22:43:26.950,63,192
63,text-input,2010-09-13 22:44:36.900,135,194
63,battery-life|htc-droid-incredible|performance,2010-09-13 22:46:14.313,15,184
63,gps|productivity,2010-09-13 22:48:20.690,137,186
63,2.2-froyo|camera|gallery,2010-09-13 22:53:56.433,219,125
119,keyboard,2010-09-13 22:56:20.050,119,53
125,htc-hero|rooting,2010-09-13 23:13:43.650,96,456
125,2.2-froyo|camera|gallery,2010-09-13 23:23:11.273,219,125
15,battery-life|htc-droid-incredible|performance,2010-09-13 23:49:37.880,15,184
30,htc-legend|screenshots,2010-09-14 00:13:55.140,30,213
30,alternative-markets|applications,2010-09-14 00:18:05.193,30,216
119,applications|google-play-store|paid-apps,2010-09-14 00:19:42.847,75,83
30,performance,2010-09-14 00:34:40.457,9,220
135,text-input,2010-09-14 01:51:24.883,135,194
3,alternative-markets|notifications|updates,2010-09-14 02:18:01.540,3,228
3,2.2-froyo|htc-droid-incredible|mp3|ringtone,2010-09-14 02:26:51.117,1417,224
22,htc-legend|screenshots,2010-09-14 02:48:25.250,30,213
22,text-input,2010-09-14 02:54:47.600,135,194
22,2.2-froyo|htc-droid-incredible|mp3|ringtone,2010-09-14 03:02:52.743,1417,224
137,gps|productivity,2010-09-14 03:13:29.627,137,186
137,battery|charging|htc-droid-incredible,2010-09-14 03:15:39.027,63,192
22,email|exchange|htc-desire,2010-09-14 03:16:03.823,22,237
22,call-screening|calls|profiles,2010-09-14 03:39:20.700,22,243
116,rooting,2010-09-14 03:45:26.570,116,236
140,rooting,2010-09-14 03:45:54.683,116,236
137,rooting,2010-09-14 03:56:40.037,116,236
10,google-voice,2010-09-14 03:57:06.293,137,245
10,rooting,2010-09-14 04:01:42.997,116,236
10,2.1-eclair|wi-fi|wifi-tethering,2010-09-14 04:03:09.063,140,253
47,rooting,2010-09-14 04:10:27.000,116,236
140,rooting,2010-09-14 04:15:11.620,21,164
132,firewall|security,2010-09-14 04:47:40.063,132,143
17637,linux|shell,2010-09-14 07:37:50.137,17637,285
150,battery|charging|htc-droid-incredible,2010-09-14 08:37:23.313,63,192
17637,applications|backup|restore|sync,2010-09-14 10:07:51.913,17637,292
21,mp3,2010-09-14 10:28:07.167,158,289
17637,mp3,2010-09-14 10:30:11.717,158,289
80,call-screening|calls|profiles,2010-09-14 13:06:35.587,22,243
49,rooting,2010-09-14 15:26:23.927,116,236
3,applications|launcher,2010-09-14 16:41:25.083,3,333
3,google-play-store,2010-09-14 17:07:57.297,57,338
57,google-play-store,2010-09-14 17:11:44.187,57,338
47,2.1-eclair|adobe-flash|samsung-galaxy-apollo,2010-09-14 17:19:41.113,267,343
116,htc-tattoo|task-management,2010-09-14 17:24:06.580,116,68
15,app-ratings|google-play-store,2010-09-14 17:25:42.747,15,340
3,app-ratings|google-play-store,2010-09-14 17:34:49.230,15,340
30,launcher,2010-09-14 17:58:46.260,30,352
137,applications|google-play-store,2010-09-14 20:26:43.107,137,345
17,buttons|screen,2010-09-15 00:38:18.453,137,367
17,applications|launcher,2010-09-15 00:46:58.307,3,333
15,motorola-droid|music,2010-09-15 02:07:35.730,15,379
22,calls|htc-droid-incredible|notifications|ringtone,2010-09-15 02:16:50.880,35,337
35,calls|htc-droid-incredible|notifications|ringtone,2010-09-15 04:40:04.683,35,337
137,buttons|screen,2010-09-15 05:24:21.490,137,367
17637,2.2-froyo|htc-droid-incredible|mp3|ringtone,2010-09-15 08:55:15.543,1417,224
151,applications|launcher,2010-09-15 10:30:48.167,3,333
79,google-calendar|samsung|sync,2010-09-15 11:19:38.953,156,374
15,htc-desire|notifications,2010-09-15 12:15:32.127,15,393
30,htc-desire|notifications,2010-09-15 12:24:57.893,15,393
80,antivirus|security,2010-09-15 13:48:21.847,80,341
49,backup|remote-control|restore,2010-09-15 14:43:56.170,34,390
156,google-calendar|samsung|sync,2010-09-15 16:08:03.313,156,374
56,uninstallation,2010-09-15 17:14:05.510,56,408
56,antivirus|security,2010-09-15 17:18:34.457,80,341
34,docking-station|launcher|motorola-droid,2010-09-15 18:49:55.540,34,123
34,backup|remote-control|restore,2010-09-15 18:53:32.867,34,390
34,caller-id,2010-09-15 18:57:42.523,34,57
49,uninstallation,2010-09-15 18:59:32.353,56,408
36,2.2-froyo|adobe-flash,2010-09-15 20:28:22.477,36,419
116,battery|car-dock|charging|motorola-droid,2010-09-15 20:54:06.133,116,418
49,battery|car-dock|charging|motorola-droid,2010-09-15 21:01:08.060,116,418
33,netflix|streaming|television,2010-09-15 21:44:35.010,2422,421
106,alarm|google-voice-actions|htc-desire,2010-09-15 22:08:47.623,2230,171
45,encryption|security|wi-fi,2010-09-15 22:36:43.653,45,429
116,twitter,2010-09-15 23:13:01.803,116,433
30,bluetooth|samsung-captivate|speakerphone|voice-command,2010-09-16 00:23:36.233,30,435
15,geolocation|google-latitude|google-maps|gps,2010-09-16 00:26:16.293,15,434
81,non-market|side-loading,2010-09-16 01:47:42.563,219,437
3,twitter,2010-09-16 02:51:09.557,116,433
96,htc-hero|rooting,2010-07-21 23:02:06.460,96,456
267,calendar|motorola-droid,2010-07-27 20:04:52.383,267,571
64,2.2-froyo|performance,2010-07-17 03:19:43.083,64,574
98,google-maps|htc-desire|voice-command,2010-07-31 13:21:13.413,98,765
267,gps|motorola-droid|text-to-speech,2010-08-16 21:03:55.890,267,821
267,cyanogenmod|voice-command,2010-08-17 12:43:36.420,267,874
156,contacts|data-transfer,2010-08-23 14:37:05.840,156,909
156,2.2-froyo|contacts|nexus-one|sms,2010-09-02 12:51:04.970,156,938
156,music-player|samsung-galaxy-s,2010-09-09 16:24:12.120,156,958
222,hebrew|languages|localization,2010-09-14 05:57:30.623,531,989
3,bookmarklets|browser|browser-add-ons|javascript,2010-09-16 13:29:17.780,137,1053
15,battery|battery-life,2010-09-16 15:19:11.033,15,1058
13,2.2-froyo|contacts|motorola-droid,2010-09-16 18:20:40.167,397,1065
177,2.1-eclair|wi-fi|wifi-tethering,2010-09-16 19:12:08.093,140,253
45,browser|browser-add-ons|javascript,2010-09-16 20:50:48.603,45,1054
193,2.1-eclair|wi-fi|wifi-tethering,2010-09-16 22:09:42.977,140,253
137,google-voice,2010-09-16 22:14:52.563,137,245
51,custom-roms|device-firmware|rom,2010-09-16 22:31:01.130,51,1086
51,dlna|media-player,2010-09-16 22:35:08.343,86,1051
111,applications|att|unknown-sources,2010-09-16 22:38:06.003,111,1070
111,calls|performance|updates,2010-09-16 23:05:55.380,111,178
57,android-versions,2010-09-17 03:19:36.340,57,1102
65,adw.launcher|app-widgets,2010-09-17 04:34:50.813,65,1104
65,reboot|samsung-galaxy-s,2010-09-17 06:00:48.247,65,1106
177,battery|battery-life,2010-09-17 07:04:54.757,15,1058
47,android-emulator,2010-09-17 11:10:11.183,47,1111
197,battery|battery-life,2010-09-17 13:16:15.043,15,1058
197,2.1-eclair|wi-fi|wifi-tethering,2010-09-17 13:22:09.313,140,253
36,email|notifications|settings|sms,2010-09-17 13:23:30.637,36,1114
197,reboot|samsung-galaxy-s,2010-09-17 13:43:04.900,65,1106
197,battery|car-dock|charging|motorola-droid,2010-09-17 14:10:14.047,116,418
78,motorola-droid|music,2010-09-17 14:27:07.993,15,379
9,android-versions,2010-09-17 15:06:52.050,57,1102
36,downloading|dropbox|sync,2010-09-17 15:21:42.553,267,1120
199,cyanogenmod|htc-dream|updates,2010-09-17 16:32:06.213,10,41
36,applications,2010-09-17 18:53:25.767,36,1133
57,app-widgets|email|gmail|recents-screen,2010-09-17 20:58:54.690,57,1136
10,app-widgets|email|gmail|recents-screen,2010-09-17 23:27:14.720,57,1136
64,netflix|streaming|television,2010-09-18 05:43:39.877,2422,421
137,offline|video,2010-09-18 22:22:54.547,137,948
19,share-menu,2010-09-18 23:11:35.543,19,1156
185,factory-reset|privacy,2010-09-19 00:24:16.947,137,422
81,share-menu,2010-09-19 01:10:36.117,19,1156
100,offline|video,2010-09-19 03:46:38.573,137,948
47,dialer-codes,2010-09-19 05:10:26.067,182,1163
197,factory-reset|privacy,2010-09-19 09:43:05.363,137,422
81,1.5-cupcake|email|gmail,2010-09-19 14:09:23.883,81,1177
188,email|notifications|settings|sms,2010-09-19 18:03:39.757,36,1114
10,rooting,2010-09-19 18:29:06.770,10,1184
137,google-voice|sms,2010-09-19 20:26:40.543,1465,1182
139,camera|settings,2010-09-20 03:18:23.583,10,89
177,email|notifications|settings|sms,2010-09-20 03:23:05.243,36,1114
177,camera|motorola-droid|motorola-milestone,2010-09-20 04:43:19.237,139,1194
156,email|notifications|settings|sms,2010-09-20 10:30:46.000,36,1114
10,google-play-store|updates,2010-09-20 13:39:12.827,10,1204
9,bluetooth|nexus-one|usb,2010-09-20 15:04:32.497,9,1198
175,samsung-galaxy-s|video,2010-09-20 17:48:59.537,288,1180
63,google-play-store|updates,2010-09-20 19:21:22.213,10,1204
6,battery|charging|htc-droid-incredible,2010-09-20 19:33:03.767,63,192
10,rom,2010-09-20 19:46:03.317,96,1216
96,rom,2010-09-20 19:54:40.770,96,1216
219,non-market|side-loading,2010-09-20 20:24:29.333,219,437
10,2.2-froyo|motorola-milestone,2010-09-20 20:32:59.110,10,1227
10,automation|calls|profiles,2010-09-20 20:40:03.517,10,1229
219,2.2-froyo|camera|gallery,2010-09-20 20:41:43.393,219,125
10,google-voice,2010-09-20 20:49:13.230,10,1232
137,factory-reset|privacy,2010-09-20 20:57:43.423,137,422
63,downloading|home-screen-shortcuts,2010-09-20 21:02:58.407,63,1235
137,downloading|home-screen-shortcuts,2010-09-20 21:54:15.407,63,1235
266,downloading|home-screen-shortcuts,2010-09-20 21:56:05.637,63,1235
267,downloading|home-screen-shortcuts,2010-09-20 21:56:51.703,63,1235
137,automation|calls|profiles,2010-09-20 22:07:27.530,10,1229
119,applications|backup|restore|sync,2010-09-20 23:02:32.943,17637,292
119,hardware|mp3|pmp,2010-09-20 23:47:15.487,119,152
267,home-screen-shortcuts,2010-09-21 01:02:27.440,267,1255
15,2.1-eclair|bookmarks|browser,2010-09-21 01:22:57.100,15,1254
289,samsung-galaxy-s|video,2010-09-21 02:40:46.973,288,1180
304,samsung-galaxy-s|samsung-kies|updates,2010-09-21 08:55:56.653,304,181
63,calendar|google-calendar,2010-09-21 08:56:42.347,63,1266
306,motorola-milestone|wi-fi,2010-09-21 09:42:39.137,306,1274
304,2.1-eclair|keyboard|languages|localization,2010-09-21 09:48:25.637,280,1261
79,search,2010-09-21 11:04:16.810,79,1263
308,htc-sense|usb-connection-mode,2010-09-21 11:13:42.260,308,1128
23,2.2-froyo|dns|htc-evo|networking,2010-09-21 12:21:48.627,23,1259
10,app-widgets|cyanogenmod,2010-09-21 13:09:44.770,10,1283
316,htc-desire|reboot,2010-09-21 13:19:31.763,316,1257
316,networking|root-access,2010-09-21 13:25:49.093,365,1238
197,performance,2010-09-21 14:07:15.313,9,220
316,remote-control,2010-09-21 14:08:06.657,316,1291
63,remote-control,2010-09-21 14:09:15.463,316,1291
316,app-widgets|cyanogenmod,2010-09-21 14:16:31.270,10,1283
199,app-widgets|cyanogenmod,2010-09-21 14:18:29.350,10,1283
219,remote-control,2010-09-21 15:51:41.850,316,1291
158,mp3,2010-09-21 17:21:50.993,158,289
316,2.1-eclair|factory-reset|htc-magic,2010-09-21 17:23:15.033,316,1306
81,search,2010-09-21 17:29:30.183,79,1263
335,firewall|security,2010-09-21 18:16:20.730,132,143
316,command-line|ssh,2010-09-21 18:24:08.813,201,1315
137,2.2-froyo|contact-shortcut|customization,2010-09-21 18:27:15.397,137,1317
316,2.2-froyo|contact-shortcut|customization,2010-09-21 19:09:29.123,137,1317
335,remote-control,2010-09-21 20:22:58.370,316,1291
201,command-line|ssh,2010-09-21 20:56:51.787,201,1315
248,cyanogenmod|gmail,2010-09-21 23:49:03.340,248,1328
316,cyanogenmod|gmail,2010-09-22 03:19:18.960,248,1328
316,customization|keyboard|samsung-galaxy-s|swype,2010-09-22 04:05:54.657,156,1333
65,browser|htc-desire|task-management,2010-09-22 05:20:45.137,251,1341
197,browser|htc-desire|task-management,2010-09-22 07:02:28.600,251,1341
365,networking|root-access,2010-09-22 09:19:35.450,365,1238
251,browser|htc-desire|task-management,2010-09-22 09:21:53.750,251,1341
251,itunes|sync,2010-09-22 09:29:57.577,137,1351
137,itunes|sync,2010-09-22 09:45:14.800,137,1351
367,apk|applications,2010-09-22 10:46:50.077,367,1365
156,google-play-store,2010-09-22 12:06:44.147,156,1375
219,custom-roms|cyanogenmod,2010-09-22 12:43:54.870,316,1373
316,custom-roms|cyanogenmod,2010-09-22 12:50:17.563,316,1373
10,custom-roms|cyanogenmod,2010-09-22 13:24:33.397,316,1373
10,battery-life|tasker,2010-09-22 13:44:46.473,382,1358
219,customization|keyboard|samsung-galaxy-s|swype,2010-09-22 13:57:46.433,156,1333
156,customization|keyboard|samsung-galaxy-s|swype,2010-09-22 15:18:07.943,156,1333
10,internal-storage,2010-09-22 15:28:42.187,10,1401
158,itunes|sync,2010-09-22 15:39:59.997,137,1351
219,internal-storage,2010-09-22 15:50:21.200,10,1401
375,audio|media-player|system|video,2010-09-22 15:58:18.017,375,1361
375,custom-roms,2010-09-22 16:10:05.040,375,1369
188,browser|htc-desire|task-management,2010-09-22 17:19:41.633,251,1341
316,dns|settings,2010-09-22 17:48:26.333,23,1412
219,2.2-froyo|remote-access|vnc,2010-09-22 17:54:59.657,219,1371
137,applications|simplenote,2010-09-22 18:25:04.113,267,1393
386,battery-life|tasker,2010-09-22 20:35:10.387,382,1358
316,calendar|email,2010-09-22 20:47:13.337,316,1425
137,printing,2010-09-22 22:12:34.297,137,1431
15,bookmarks,2010-09-22 23:37:41.213,15,1435
9,performance,2010-09-23 00:54:54.643,9,220
397,2.2-froyo|contacts|motorola-droid,2010-09-23 04:17:48.230,397,1065
137,2.2-froyo|contacts|motorola-droid,2010-09-23 05:47:50.290,397,1065
397,command-line|ssh,2010-09-23 08:10:04.327,201,1315
197,internal-storage,2010-09-23 08:49:18.583,10,1401
397,networking|root-access,2010-09-23 09:12:53.953,365,1238
403,applications|backup|sync,2010-09-23 09:23:13.660,403,1449
23,dns|settings,2010-09-23 12:27:44.090,23,1412
335,command-line|ssh,2010-09-23 12:48:06.123,201,1315
10,nexus-one,2010-09-23 14:40:24.500,10,1465
10,dialer-codes,2010-09-23 14:54:42.407,10,1468
382,freeware|gps|productivity|to-do-list,2010-09-23 15:07:04.237,267,87
382,battery-life|tasker,2010-09-23 16:19:48.587,382,1358
9,video|wi-fi|youtube,2010-09-23 18:59:17.823,382,1476
158,2.2-froyo|music-player|nexus-one|wma,2010-09-23 22:19:58.493,185,1110
137,3g|apn|data-monitoring|standby,2010-09-24 00:01:48.460,137,1484
382,calendar|samsung-galaxy-s|sync,2010-09-24 02:52:08.013,382,1145
137,wi-fi|wpa2,2010-09-24 07:37:29.743,137,1494
36,browser,2010-09-24 12:34:01.580,36,1478
412,browser|internet,2010-09-24 12:38:52.700,412,1436
158,htc-desire|htc-sync-3.0|sync,2010-09-24 14:24:28.867,158,204
267,google-voice|services,2010-09-24 15:30:25.633,267,1513
267,2.1-eclair|adobe-flash|samsung-galaxy-apollo,2010-09-24 15:54:30.897,267,343
267,applications|google-play-store,2010-09-24 16:30:23.477,267,1518
10,gps,2010-09-24 18:17:35.857,10,1522
10,applications|uninstallation,2010-09-24 19:18:44.690,137,1525
10,htc-sense,2010-09-24 19:36:55.527,49,1527
137,applications|uninstallation,2010-09-24 21:22:45.583,137,1525
208,samsung-galaxy-s|speaker,2010-09-25 00:06:13.890,208,1536
270,files,2010-09-25 01:45:16.780,270,1533
219,ebook-reader|samsung-galaxy-s,2010-09-25 12:11:18.330,137,1540
155,google-voice,2010-09-25 12:35:29.067,137,245
135,ebook-reader|samsung-galaxy-s,2010-09-25 13:23:50.080,137,1540
455,2.1-eclair|htc-desire,2010-09-25 14:00:12.583,455,1535
137,ebook-reader|samsung-galaxy-s,2010-09-25 14:34:12.843,137,1540
137,customization|home-screen-shortcuts,2010-09-25 14:59:42.707,137,366
15,samsung-galaxy-s|speaker,2010-09-25 17:01:07.507,208,1536
144,ebook-reader|samsung-galaxy-s,2010-09-25 17:50:33.810,137,1540
45,hardware,2010-09-25 20:06:40.993,45,1556
49,sprint|uninstallation,2010-09-26 03:55:57.570,792,1559
49,htc-sense,2010-09-26 04:08:27.393,49,1527
49,browser,2010-09-26 04:09:49.063,36,1478
49,applications,2010-09-26 04:12:19.090,49,334
49,2.1-eclair|wi-fi|wifi-tethering,2010-09-26 04:18:32.667,140,253
464,applications|google-play-store,2010-09-26 15:55:20.563,137,345
137,contacts|performance|voice-command|voice-recognition,2010-09-26 18:53:37.417,137,1558
470,dialer-codes,2010-09-26 21:06:17.643,182,1163
230,ebook-reader|samsung-galaxy-s,2010-09-27 02:13:53.350,137,1540
137,samsung-galaxy-s|usb|usb-host-mode,2010-09-27 05:00:04.183,137,1585
412,2.2-froyo|contacts|gmail|sim-card,2010-09-27 08:21:40.573,412,1463
412,2.2-froyo,2010-09-27 09:56:58.937,412,1598
15,applications|google-play-store|updates,2010-09-27 10:40:56.100,15,1600
479,camera|settings,2010-09-27 11:35:57.533,10,89
170,applications|google-play-store|updates,2010-09-27 12:03:38.860,15,1600
404,2.1-eclair|htc-desire,2010-09-27 12:24:32.917,455,1535
10,google-talk|video|video-conference,2010-09-27 13:00:18.223,10,1592
170,browser|email,2010-09-27 13:16:10.750,137,1606
81,notifications,2010-09-27 13:56:35.770,81,1607
316,notifications,2010-09-27 14:34:03.997,81,1607
316,browser|email,2010-09-27 14:40:30.620,137,1606
137,browser|email,2010-09-27 14:51:03.773,137,1606
316,languages,2010-09-27 14:54:40.833,316,1587
137,notifications,2010-09-27 14:56:01.153,81,1607
267,applications|google-play-store|updates,2010-09-27 15:09:09.150,15,1600
15,google-drive,2010-09-27 15:18:48.173,412,1620
267,applications|uninstallation,2010-09-27 15:21:22.323,137,1525
412,google-drive,2010-09-27 15:30:35.227,412,1620
412,maps|offline,2010-09-27 15:47:15.810,412,1624
334,2.2-froyo|google-maps|gps|motorola-droid,2010-09-27 15:51:36.033,334,1501
65,android-versions,2010-09-27 16:04:45.607,65,1629
3,authorization|lost-phone|security,2010-09-27 17:06:04.627,10,112
267,2.2-froyo|2.3-gingerbread|alarm|notification-icons|notifications,2010-09-27 18:02:48.493,267,1641
316,2.2-froyo|2.3-gingerbread|alarm|notification-icons|notifications,2010-09-27 20:07:05.503,267,1641
137,geolocation,2010-09-27 20:14:16.623,9,1648
201,maps|offline,2010-09-27 20:17:39.830,412,1624
412,geolocation,2010-09-27 20:23:29.190,9,1648
10,performance|phone-app,2010-09-27 21:02:42.870,10,1654
197,geolocation,2010-09-28 08:28:12.047,9,1648
403,network-signal,2010-09-28 08:38:32.983,412,1662
363,rooting|samsung-galaxy-spica,2010-09-28 12:18:18.217,363,30
316,connection-issues|google-play-store|htc-hero,2010-09-28 12:23:11.347,412,1663
316,file-management|sd-card|settings,2010-09-28 12:29:43.343,316,1658
15,app-widgets|contacts,2010-09-28 13:34:16.390,412,1674
10,app-widgets|contacts,2010-09-28 13:48:47.080,412,1674
10,network-signal,2010-09-28 13:53:30.293,412,1662
10,home-screen-shortcuts|launcherpro,2010-09-28 14:25:07.897,10,1661
412,network-signal,2010-09-28 14:34:09.750,412,1662
412,app-widgets|contacts,2010-09-28 14:55:03.067,412,1674
412,connection-issues|google-play-store|htc-hero,2010-09-28 15:32:27.167,412,1663
267,2.2-froyo|outlook|sync,2010-09-28 16:23:13.367,267,1673
137,2.1-eclair|applications|contacts|data-transfer|settings,2010-09-28 16:54:49.763,267,1686
267,2.1-eclair|applications|contacts|data-transfer|settings,2010-09-28 17:17:09.743,267,1686
10,2.1-eclair|applications|contacts|data-transfer|settings,2010-09-28 17:36:38.393,267,1686
182,dialer-codes,2010-09-28 20:21:46.267,182,1163
382,video|wi-fi|youtube,2010-09-28 21:02:44.583,382,1476
316,app-widgets|htc-droid-incredible|htc-sense,2010-09-28 21:08:25.947,316,1695
316,email|exchange|imap,2010-09-28 21:12:55.740,2457,1694
10,call-recording|calls,2010-09-28 21:16:25.020,315,1699
137,google-voice,2010-09-28 21:20:39.827,137,245
316,call-recording|calls,2010-09-28 21:26:50.607,315,1699
267,2.2-froyo|htc-hero,2010-09-28 21:52:59.117,316,1703
137,cifs|root-access|wi-fi,2010-09-28 22:38:42.107,13112,1705
15,app-widgets,2010-09-29 00:14:54.470,15,1708
10,cifs|root-access|wi-fi,2010-09-29 00:26:24.767,13112,1705
15,backlight|motorola-droid,2010-09-29 03:26:41.273,15,127
9,geolocation,2010-09-29 04:39:20.753,9,1648
137,alarm|music|music-player,2010-09-29 06:42:58.110,316,1714
3,alarm|music|music-player,2010-09-29 11:21:43.190,316,1714
10,alarm|music|music-player,2010-09-29 11:44:14.680,316,1714
315,call-recording|calls,2010-09-29 11:59:57.833,315,1699
156,dlna,2010-09-29 12:31:48.877,156,1660
156,dlna,2010-09-29 12:38:17.473,156,1660
316,alarm|music|music-player,2010-09-29 12:50:14.877,316,1714
316,2.2-froyo|htc-hero,2010-09-29 12:53:54.223,316,1703
10,adobe-flash|applications|internet-radio,2010-09-29 15:51:02.190,156,1730
267,buttons,2010-09-29 17:23:22.943,137,1080
316,calendar,2010-09-29 17:36:01.767,316,1707
10,buttons,2010-09-29 17:44:54.757,137,1080
316,browser,2010-09-29 17:54:24.007,316,1736
137,adobe-flash|applications|internet-radio,2010-09-29 17:57:36.897,156,1730
540,battery|battery-life,2010-09-29 18:08:12.230,15,1058
137,call-recording|calls,2010-09-29 19:28:17.033,315,1699
156,adobe-flash|applications|internet-radio,2010-09-29 19:37:13.333,156,1730
10,browser-add-ons|google-chrome-to-phone|sync,2010-09-29 20:25:57.527,10,1742
267,browser-add-ons|google-chrome-to-phone|sync,2010-09-29 20:37:25.193,10,1742
10,google-maps,2010-09-29 21:13:24.247,316,1745
316,google-maps,2010-09-29 21:15:20.390,316,1745
10,app-brain|google-play-store|htc-sense|updates,2010-09-30 03:04:44.053,10,1750
550,alarm,2010-09-30 03:25:11.820,550,1748
354,browser,2010-09-30 04:50:39.723,354,1749
137,applications|google-play-store,2010-09-30 06:58:20.187,156,1756
170,browser,2010-09-30 07:48:13.907,354,1749
137,images|screenshots,2010-09-30 07:55:05.640,10,1759
137,applications|google-play-store|updates,2010-09-30 08:01:24.013,137,1758
199,images|screenshots,2010-09-30 08:58:55.510,10,1759
475,images|screenshots,2010-09-30 09:16:14.970,10,1759
304,2.2-froyo|htc-hero,2010-09-30 10:20:11.160,316,1703
401,browser,2010-09-30 10:43:55.523,354,1749
401,call-recording|calls,2010-09-30 10:48:26.580,315,1699
3,images|screenshots,2010-09-30 11:37:50.017,10,1759
10,images|screenshots,2010-09-30 11:49:05.947,10,1759
412,volume-control,2010-09-30 12:39:50.633,137,1766
10,sleep,2010-09-30 12:57:02.003,10,1774
267,applications|google-play-store,2010-09-30 13:34:36.233,156,1756
412,camera|performance,2010-09-30 14:13:50.117,412,1471
354,sms,2010-09-30 14:59:49.373,354,1784
10,sms,2010-09-30 15:05:21.097,354,1784
10,verizon-backup-assistant,2010-09-30 15:13:15.847,10,1783
218,2.2-froyo|htc-hero,2010-09-30 15:17:27.790,316,1703
382,camera|performance,2010-09-30 17:13:54.767,412,1471
10,internet|permissions|security,2010-09-30 18:09:34.720,10,1790
137,volume-control,2010-09-30 21:16:26.987,137,1766
15,bookmarks|firefox-for-android,2010-10-01 00:49:35.987,10,1795
